rid,rater,video,sam,sam2,lastSam,dimension,modality,shift,comments,timeStart,timeAnno,timeDone,timeFinish,elapsedAnno,elapsedDone,gender,eating,drinking,reading,calling,abpl,abar,abdo,fmood,lastSam2
39681,-916147308,120,1,3,3,a,f,1,,Sat Aug 23 2014 19:57:52 GMT+0100,Sat Aug 23 2014 19:57:52 GMT+0100,Sat Aug 23 2014 20:02:30 GMT+0100,Sat Aug 23 2014 20:02:56 GMT+0100,7,277271,f,-1,0,1,-1,0,-0.996552643,0.189959839,neg,3
39736,330178570,120,1,0,1,a,f,-1,,Sun Aug 24 2014 15:45:57 GMT+0200 (CEST),Sun Aug 24 2014 15:45:57 GMT+0200 (CEST),Sun Aug 24 2014 15:48:02 GMT+0200 (CEST),Sun Aug 24 2014 15:48:27 GMT+0200 (CEST),15,125056,f,-1,0,1,-1,-0.079518072,-0.998975808,0.022088353,neg,1
39781,-1580479480,120,2,3,3,a,f,1,,Mon Aug 25 2014 02:44:53 GMT+0200 (Central Europe Standard Time),Mon Aug 25 2014 02:44:53 GMT+0200 (Central Europe Standard Time),Mon Aug 25 2014 02:46:37 GMT+0200 (Central Europe Standard Time),Mon Aug 25 2014 02:47:26 GMT+0200 (Central Europe Standard Time),3,103247,f,-1,0,1,-1,0.167871486,-0.997160805,0.172289157,neu,3
39957,-2088750382,120,3,4,4,a,f,1,,Wed Aug 27 2014 18:23:32 GMT+0700 (SE Asia Standard Time),Wed Aug 27 2014 18:24:38 GMT+0700 (SE Asia Standard Time),Wed Aug 27 2014 18:29:16 GMT+0700 (SE Asia Standard Time),Wed Aug 27 2014 18:30:27 GMT+0700 (SE Asia Standard Time),66581,344316,f,-1,0,1,-1,-0.216465863,-0.292118482,0.71124498,pos,4
39994,-1831722166,120,2,0,2,a,f,-1,,Wed Aug 27 2014 20:23:40 GMT+0300 (FLE Standard Time),Wed Aug 27 2014 20:23:40 GMT+0300 (FLE Standard Time),Wed Aug 27 2014 20:25:27 GMT+0300 (FLE Standard Time),Wed Aug 27 2014 20:25:54 GMT+0300 (FLE Standard Time),9,107141,f,-1,0,1,-1,0.079518072,-0.891680268,-0.508032129,neg,2
40170,1847077252,120,1,3,3,a,f,1,,Fri Aug 29 2014 23:03:19 GMT+0100 (GMT Standard Time),Fri Aug 29 2014 23:03:19 GMT+0100 (GMT Standard Time),Fri Aug 29 2014 23:05:01 GMT+0100 (GMT Standard Time),Fri Aug 29 2014 23:05:37 GMT+0100 (GMT Standard Time),13,102272,f,-1,0,1,-1,0.048594378,0.440618755,-0.8437751,neu,3
43702,-1028466696,120,1,2,2,a,f,1,,Sat Aug 30 2014 10:46:08 GMT+0200 (Central Europe Standard Time),Sat Aug 30 2014 10:46:08 GMT+0200 (Central Europe Standard Time),Sat Aug 30 2014 10:47:51 GMT+0200 (Central Europe Standard Time),Sat Aug 30 2014 10:48:21 GMT+0200 (Central Europe Standard Time),7,103273,f,-1,0,1,-1,0.141365462,-0.997978682,-0.06626506,neg,2
43783,-1168775838,120,3,0,3,a,f,-1,,Sat Aug 30 2014 13:16:40 GMT+0400 (Arabian Standard Time),Sat Aug 30 2014 13:16:40 GMT+0400 (Arabian Standard Time),Sat Aug 30 2014 13:25:12 GMT+0400 (Arabian Standard Time),Sat Aug 30 2014 13:25:45 GMT+0400 (Arabian Standard Time),11,511948,f,-1,0,1,-1,-0.026506024,-0.499656371,-0.667068273,neu,3
43809,1732699711,120,2,0,2,a,f,-1,,Sat Aug 30 2014 11:28:07 GMT+0200 (Central Europe Daylight Time),Sat Aug 30 2014 11:28:07 GMT+0200 (Central Europe Daylight Time),Sat Aug 30 2014 11:32:06 GMT+0200 (Central Europe Daylight Time),Sat Aug 30 2014 11:32:28 GMT+0200 (Central Europe Daylight Time),12,238905,f,-1,0,1,-1,-0.366666667,-0.976154253,-0.057429719,neg,2
43973,290690662,120,2,3,3,a,f,1,medium,Sat Aug 30 2014 13:30:53 GMT+0300 (GTB Standard Time),Sat Aug 30 2014 13:40:22 GMT+0300 (GTB Standard Time),Sat Aug 30 2014 13:42:24 GMT+0300 (GTB Standard Time),Sat Aug 30 2014 13:42:56 GMT+0300 (GTB Standard Time),568907,690772,f,-1,0,1,-1,0.238554217,-0.049639052,-0.755421687,neu,3
